stn_nm,boarding,getting off
강남,2766,13890
강변,5039,1448
건대입구,4024,2521
교대,1562,7143
구로디지털단지,7892,10544
구의,5199,1765
낙성대,5499,1544
당산,2368,3513
대림,3858,2298
도림천,170,238
동대문역사문화공원,502,1929
뚝섬,1135,6623
문래,2246,6572
방배,1273,2973
봉천,5182,1116
사당,4193,2852
삼성,776,15750
상왕십리,2948,1314
서울대입구,7457,2805
서초,1150,5338
선릉,1487,13060
성수,1296,12380
시청,312,11020
신답,528,72
신당,2125,1248
신대방,5628,994
신도림,6341,4723
신림,11155,1690
신설동,357,644
신정네거리,1986,446
신촌,2262,3144
아현,1865,700
역삼,1059,18013
영등포구청,2157,5941
왕십리,1939,1233
용답,662,148
용두,423,243
을지로3가,458,8893
을지로4가,406,3787
을지로입구,694,16698
이대,1602,1566
잠실나루,2064,1785
잠실새내,3563,1183
잠실,7268,7812
종합운동장,1017,772
충정로,964,2948
한양대,378,1271
합정,2339,4360
홍대입구,3214,4495
